-------- day 0 --------
name, sellIn, quality
name, sellIn, quality
Chaleco de Invisibilidad, -85, 0
Queso Brie Añejado, -93, 50
Elixir of the Mongoose, -90, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -80, 0
Pases de Backstage, -85, 0
Pases de Backstage, -90, 0

-------- day 96 --------
name, sellIn, quality
Chaleco de Invisibilidad, -86, 0
Queso Brie Añejado, -94, 50
Elixir of the Mongoose, -91, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -81, 0
Pases de Backstage, -86, 0
Pases de Backstage, -91, 0

-------- day 97 --------
name, sellIn, quality
Chaleco de Invisibilidad, -87, 0
Queso Brie Añejado, -95, 50
Elixir of the Mongoose, -92, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -82, 0
Pases de Backstage, -87, 0
Pases de Backstage, -92, 0

-------- day 98 --------
name, sellIn, quality
Chaleco de Invisibilidad, -88, 0
Queso Brie Añejado, -96, 50
Elixir of the Mongoose, -93, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -83, 0
Pases de Backstage, -88, 0
Pases de Backstage, -93, 0

-------- day 99 --------
name, sellIn, quality
Chaleco de Invisibilidad, -89, 0
Queso Brie Añejado, -97, 50
Elixir of the Mongoose, -94, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -84, 0
Pases de Backstage, -89, 0
Pases de Backstage, -94, 0

-------- day 100 --------
name, sellIn, quality
Chaleco de Invisibilidad, -90, 0
Queso Brie Añejado, -98, 50
Elixir of the Mongoose, -95, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -85, 0
Pases de Backstage, -90, 0
Pases de Backstage, -95, 0

